0.082907672,0.026708359,0.116901363,-0.00840538,0.096811979,0.007551288,-0.002931729,0.12825688,0.184604554,0.168985607,0.378710353,0.128734764,,,,,,,,,
0.082907672,0.026708359,0.116901363,-0.00840538,0.096811979,0.007551288,-0.002931729,0.12825688,0.184604554,0.168985607,0.378710353,0.128734764,,,,,,,,,
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,,predict,5.166166233,5,y - y^,0,,26,36
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,,,5.323760633,5,,0,,,
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,,,5.295804378,5,,0,,,
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,,,5.594726522,6,,0,,,
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,,,5.166166233,5,,0,,,
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,,,5.163353828,5,,0,,,
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,,,5.114874104,5,,0,,,
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,,,5.419131043,5,,2,,,
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,,,5.240878386,5,,2,,,
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,,,5.448964552,5,,0,,,
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,,,4.934648603,5,,0,,,
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,,,5.448964552,5,,0,,,
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,,,5.177974777,5,,0,,,
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,,,5.245753541,5,,0,,,
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,,,5.201149551,5,,0,,,
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,,,5.194846007,5,,0,,,
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,,,5.702749352,6,,1,,,
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,,,5.266231921,5,,0,,,
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,,,4.943764125,5,,-1,,,
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,,,5.18964687,5,,1,,,
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,,,5.367105597,5,,1,,,
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,,,5.320786972,5,,0,,,
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,,,5.248134139,5,,0,,,
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,,,5.082214418,5,,0,,,
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,,,5.29820268,5,,1,,,
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,,,5.052682572,5,,0,,,
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,,,5.219133545,5,,0,,,
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,,,5.248134139,5,,0,,,
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,,,5.152519405,5,,0,,,
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,,,5.360093485,5,,1,,,
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,,,5.249211161,5,,0,,,
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,,,5.643103214,6,,0,,,
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,,,5.154986794,5,,0,,,
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6,,,5.119634819,5,,1,,,
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,,,4.872795039,5,,0,,,
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,,,5.224017346,5,,1,,,
